mesocosm,temp_treat,fish_yn,pH,speccond,pchla,er,gpp,npp,nox,po4,nh4,clad,cop,zoop,propalgae
1,u,n,9.2,0.547,1.19,-3.23,-0.24,2.99,0.00922,0.00161,0.00154,8,37,134.2087414,0.370676079
2,w,y,9.3,0.565,1.36,-4.29,-0.31,3.98,0.00853,0.0039,0.0677,1,0,2.174410273,0.478474577
3,u,y,9,0.637,1.18,-3.07,-0.03,3.04,0.00855,0.00244,0.0279,8,4,15.82248343,0.274744478
4,w,y,9.2,0.557,1.94,-2.98,-0.26,2.72,0.00846,0.00692,0.0352,7,0,4.661410096,0.658200182
5,w,n,9.5,0.532,2.11,-3.99,-0.37,3.62,0.00836,0.00044,0.0104,13,5,20.70437611,0.625754135
6,u,y,8.8,0.69,1.32,-2.6,0.13,2.73,0.0101,0.00645,0.0352,62,10,277.2920647,0
7,w,y,9.1,0.636,1.97,-3.49,-0.21,3.28,0.00853,0.00662,0.0311,4,16,62.73161292,0.129657711
8,w,n,9.1,0.596,1.42,-2.7,-0.4,2.3,0.00855,0.00533,0.0344,73,16,238.6934224,0.513566127
9,u,y,9.1,0.563,1.38,-3.72,-0.43,3.29,0.00933,0.00135,0.0387,11,12,49.49001793,0.488363907
10,u,n,8.9,0.681,1.36,-2.61,0.05,2.66,0.0105,0.00735,0.0084,289,2,1741.699586,0
11,w,y,9.2,0.552,1.11,-3.8,-0.59,3.21,0.00894,0.0013,0.0439,0,1,2.252571448,0.418247337
12,u,y,9.1,0.541,1.39,-3.81,-0.65,3.16,0.00868,0.00161,0.0378,15,4,15.18179189,0.303977161
13,u,y,9.1,0.534,1.76,-3.1,-0.07,3.03,0.00874,0.00342,-0.00646,2,2,6.556654433,0.457706692
14,w,y,9.2,0.565,2.12,-4.03,-0.26,3.77,0.0103,0.00405,-0.0105,3,0,3.007384113,0.362088308
15,u,n,9,0.633,0.98,-3.11,0.07,3.18,0.00929,0.00576,0.0507,364,111,2332.444003,0
16,w,y,9.1,0.561,2.68,-2.62,-0.42,2.2,0.00858,0.00423,0.0248,0,1,4.654420885,0.560434445
17,u,y,9,0.563,1.91,-3.28,-0.19,3.09,0.00871,0.00147,0.034,14,8,30.96141701,0.115460268
18,w,n,9.1,0.611,1.18,-3.86,-0.47,3.39,0.0101,0.00235,0.0268,262,17,551.3771388,0.100519017
19,w,y,9.3,0.545,1.4,-4.69,-0.63,4.06,0.00784,0.00112,-0.01,3,0,3.655187656,0.471379132
20,u,y,9.2,0.528,1.04,-3.98,-0.18,3.8,0.00939,0.00136,0.0516,3,11,24.43879081,0.448320623
21,w,n,9.1,0.587,1.04,-3.65,-0.41,3.24,0.0107,0.00229,0.0378,220,4,355.6775627,0.295700004
22,u,y,9.2,0.505,1.47,-3.32,-0.42,2.9,0.00926,0.00238,0.0178,3,4,16.19522499,0.49763316
23,u,n,8.9,0.667,1.45,-2.21,0.16,2.37,0.00887,0.00911,0.0443,179,9,813.8036152,0
24,w,y,9.2,0.56,1.08,-3.29,-0.43,2.86,0.0125,0.00299,-0.00791,5,7,22.4017631,0.545370258
25,u,y,9.1,0.637,5.11,-3.62,-0.16,3.46,0.00858,0.00426,0.0245,11,4,17.12928455,0
26,u,n,9.1,0.622,0.91,-3.34,-0.08,3.26,0.00863,0.00221,-0.0298,436,112,2668.860563,0.01
27,w,y,9.2,0.577,2.65,-3.19,-0.3,2.89,0.0105,0.006,0.03,1,1,2.886844904,0.382679765
28,w,n,8.9,0.698,1.79,-3.38,-0.21,3.17,0.00849,0.00727,0.0041,261,24,1177.336238,0
29,u,y,9.2,0.528,0.9,-3.55,-0.47,3.08,0.00974,0.00136,0.0162,1,5,21.03758937,0.476316848
30,w,y,9.1,0.591,2.27,-3.56,-0.19,3.37,0.0108,0.00197,0.0524,7,1,6.213836913,0.22430171
31,w,n,9.3,0.566,0.87,-4.47,-0.56,3.91,0.00994,0.00107,0.0454,268,10,226.6060108,0.449315179
32,u,y,9.2,0.533,1.21,-4.16,-0.35,3.81,0.00841,0.00143,0.0239,3,5,11.01135251,0.449434623
33,w,y,9.2,0.564,2.1,-3.58,-0.37,3.21,0.0103,0.00241,0.0295,1,0,1.366699408,0.534057569
34,u,y,9,0.623,1.36,-4.23,0,4.23,0.00911,0.00257,0.0337,0,2,9.565944975,0.088818302
35,w,y,9,0.587,2.2,-3.54,-0.46,3.08,0.0095,0.00226,0.0306,1,11,46.60764596,0.383264506
36,u,n,8.8,0.649,0.99,-2.82,-0.55,2.27,0.0113,0.00508,0.0409,366,6,1595.66744,0
