mesocosm,temp_treat,fish_yn,npp,er,gpp,pchla,nox,po4,nh4,pH,speccond,totalmacro,peri_drymass
3,w,y,1.47,1.17,2.64,0.83,0.0125,0.0194,0.0217,9,0.4544,482,0.049
5,u,y,1.45,1.14,2.59,2.95,0.00911,0.0185,0.0283,8.95,0.4326,1025,0.1249
10,u,y,1.68,1.44,3.12,6.42,0.00791,0.0184,0.0122,9.15,0.4323,737,0.222
11,w,y,1.96,1.68,3.64,2.45,0.00762,0.0179,0.0287,9.04,0.4572,546,0.067
22,u,y,1.74,1.39,3.13,2.32,0.0085,0.0181,0.0193,8.98,0.4234,323,0.0975
23,w,y,2.02,1.72,3.74,1.34,0.00843,0.0183,0.0246,8.9,0.4564,314,0.0255
25,u,y,2.1,1.72,3.82,1.38,0.00757,0.0183,0.0296,9.17,0.4028,558,0.0635
26,w,y,2,1.69,3.69,2.05,0.0118,0.0191,0.0219,9.05,0.4639,439,0.0417
29,u,y,1.84,1.51,3.35,1.88,0.0085,0.0186,0.0284,8.93,0.4118,890,0.0833
30,w,y,1.89,1.58,3.47,1.77,0.00753,0.0188,0.0329,8.92,0.4406,587,0.1156
34,w,y,2.04,1.77,3.81,10.13,0.00803,0.0191,0.0245,9.02,0.4441,314,0.0477
37,u,y,1.74,1.41,3.15,0.97,0.0255,0.0216,0.025,9.1,0.4046,413,0.0678
41,u,y,1.21,0.93,2.14,0.9,0.0109,0.0209,0.00852,8.77,0.4326,380,0.073
48,w,y,1.85,1.8,3.65,6.57,0.00596,0.0181,0.0116,9,0.4567,446,0.0477
49,w,y,1.84,1.76,3.6,3.33,0.00667,0.0184,0.0104,9.03,0.4627,425,0.0866
51,u,y,1.77,1.68,3.45,6.68,0.0104,0.019,0.0119,9.19,0.4112,507,0.1067
7,w,n,2.05,1.79,3.84,1.01,0.00744,0.0186,0.0228,9.25,0.4653,434,0.0756
24,u,n,1.69,1.34,3.03,0.85,0.00659,0.0182,0.0246,9.1,0.4063,662,0.1287
28,w,n,1.78,1.48,3.26,1.92,0.0117,0.0189,0.0109,8.97,0.4492,530,0.0678
43,u,n,1.57,1.8,3.37,1.45,0.00704,0.0185,0.0214,9.17,0.41,444,0.0572
